;dogonasheva.etr.eastbanctech.ru;192.168.154.71;Windows 10 Enterprise 2016 LTSB;98%;22.03.2023 10:18
;rusinov.etr.eastbanctech.ru;192.168.152.18;Windows 10 Enterprise;99%;22.03.2023 13:04
;etr-wsus-02.etr.eastbanctech.ru;::1;Windows Server 2019 Standard;98%;21.03.2023 20:34
;etr-moss-03.etr.eastbanctech.ru;192.168.150.49;Windows Server 2012 R2;98%;22.03.2023 2:31
;pavlova.etr.eastbanctech.ru;192.168.154.88;Windows 10 Enterprise;99%;22.03.2023 6:54
;dev-alink-02.dev.etr.eastbanctech.ru;192.168.154.218;Windows Server 2012 R2;98%;21.03.2023 21:53
;etr-adfs-01.etr.eastbanctech.ru;192.168.150.169;Windows Server 2016 Standard;98%;22.03.2023 10:49
;etr-host-14.etr.eastbanctech.ru;192.168.150.69;Windows Server 2016 Standard;98%;21.03.2023 15:22
;kustova.etr.eastbanctech.ru;192.168.152.31;Windows 10 Enterprise;99%;21.03.2023 20:37
;etr-tfs-search3.etr.eastbanctech.ru;192.168.158.157;Windows Server 2016 Standard;98%;21.03.2023 14:01
;notebook-belkov.etr.eastbanctech.ru;192.168.154.145;Windows 10 Enterprise;98%;20.03.2023 19:53
;etr-adfs-02.etr.eastbanctech.ru;192.168.150.60;Windows Server 2016 Standard;98%;22.03.2023 12:39
;malenkov.etr.eastbanctech.ru;192.168.154.251;Windows 10 Enterprise;99%;22.03.2023 10:58
;bushuev.etr.eastbanctech.ru;192.168.154.89;Windows 10 Enterprise;99%;22.03.2023 4:56
;notebook-khromenko.etr.eastbanctech.ru;192.168.154.80;Windows 10 Enterprise;99%;22.03.2023 11:10
;lbov.etr.eastbanctech.ru;192.168.154.241;Windows 10 Enterprise;99%;22.03.2023 8:08
;zhulasova.etr.eastbanctech.ru;192.168.154.25;Windows 10 Enterprise;99%;21.03.2023 19:08
;ozhukov.etr.eastbanctech.ru;192.168.154.172;Windows 10 Enterprise;99%;22.03.2023 11:18
;dutov.etr.eastbanctech.ru;192.168.154.62;Windows 10 Enterprise;99%;22.03.2023 10:55
;mmcheplakov.etr.eastbanctech.ru;192.168.152.99;Windows 10 Enterprise;99%;21.03.2023 19:08
;anisimov.etr.eastbanctech.ru;192.168.152.15;Windows 10 Enterprise;99%;22.03.2023 10:44
;sumina.etr.eastbanctech.ru;192.168.154.217;Windows 10 Enterprise;99%;22.03.2023 6:20
;kapeshina.etr.eastbanctech.ru;192.168.154.131;Windows 10 Enterprise;99%;22.03.2023 8:13
;prokopenko.etr.eastbanctech.ru;192.168.152.97;Windows 10 Enterprise;99%;21.03.2023 22:20
;samorodova.etr.eastbanctech.ru;192.168.152.190;Windows 10 Enterprise;99%;22.03.2023 7:09
;bezmaternyh.etr.eastbanctech.ru;192.168.152.67;Windows 10 Enterprise;99%;22.03.2023 10:31
;shakhov.etr.eastbanctech.ru;192.168.154.76;Windows 10 Enterprise;99%;22.03.2023 10:05
;notebook-chesnokov.etr.eastbanctech.ru;192.168.152.35;Windows 10 Enterprise;99%;22.03.2023 12:08
;paraga.etr.eastbanctech.ru;192.168.152.54;Windows 10 Enterprise;99%;22.03.2023 6:43
;dev-lm-02.dev.etr.eastbanctech.ru;192.168.152.156;Windows Server 2012;99%;22.03.2023 2:42
;grishin.etr.eastbanctech.ru;192.168.154.82;Windows 10 Enterprise;99%;22.03.2023 5:07
;notebook-demidovich.etr.eastbanctech.ru;192.168.152.181;Windows 10 Enterprise;99%;16.03.2023 13:36
;enenko.etr.eastbanctech.ru;192.168.152.52;Windows 10 Enterprise;99%;22.03.2023 11:16
;korsun.etr.eastbanctech.ru;192.168.154.150;Windows 10 Enterprise;99%;21.03.2023 19:08
;vtrofimovich.etr.eastbanctech.ru;192.168.154.134;Windows 10 Enterprise;99%;17.03.2023 9:24
;kobeleva.etr.eastbanctech.ru;192.168.152.62;Windows 10 Enterprise;99%;22.03.2023 8:26
;kozlov.etr.eastbanctech.ru;192.168.154.35;Windows 10 Enterprise;99%;22.03.2023 12:12
;korshunova.etr.eastbanctech.ru;192.168.152.202;Windows 10 Enterprise;99%;22.03.2023 10:51
;notebook-vedernikova.etr.eastbanctech.ru;192.168.152.166;Windows 10 Enterprise;99%;22.03.2023 0:40
;notebook-spryagaylo.etr.eastbanctech.ru;192.168.159.54;Windows 10 Enterprise;99%;17.03.2023 18:05
;notebook-volgina.etr.eastbanctech.ru;192.168.152.64;Windows 10 Enterprise;99%;22.03.2023 12:05
;notebook-shafner.etr.eastbanctech.ru;192.168.154.66;Windows 10 Enterprise;99%;21.03.2023 17:54
;tuchinova.etr.eastbanctech.ru;192.168.152.179;Windows 10 Enterprise;99%;22.03.2023 4:58
;notebook-luzgin.etr.eastbanctech.ru;192.168.154.126;Windows 10 Enterprise;99%;22.03.2023 10:49
;notebook-babkina.etr.eastbanctech.ru;192.168.152.64;Windows 10 Enterprise;99%;22.03.2023 3:01
;notebook-punchenko.etr.eastbanctech.ru;192.168.154.211;Windows 10 Enterprise;99%;21.03.2023 19:08
;notebook-surkov.etr.eastbanctech.ru;192.168.154.147;Windows 10 Enterprise;99%;22.03.2023 11:05
;notebook-ulyanova.etr.eastbanctech.ru;192.168.152.56;Windows 10 Enterprise;99%;21.03.2023 19:08
;notebook-pimnev.etr.eastbanctech.ru;192.168.154.166;Windows 10 Enterprise;99%;21.03.2023 19:08
;notebook-zalevskaya.etr.eastbanctech.ru;192.168.152.23;Windows 10 Enterprise;99%;21.03.2023 19:08
;notebook-smurygina.etr.eastbanctech.ru;192.168.152.28;Windows 10 Enterprise;99%;21.03.2023 19:08
;dev-lm-03.dev.etr.eastbanctech.ru;192.168.156.10;Windows Server 2012;99%;21.03.2023 19:26
;slinkin.etr.eastbanctech.ru;192.168.152.32;Windows 10 Enterprise;99%;22.03.2023 10:51
;notebook-cherepanova.etr.eastbanctech.ru;192.168.154.42;Windows 10 Enterprise;99%;20.03.2023 14:38
;notebook-nikishin.etr.eastbanctech.ru;192.168.152.178;Windows 10 Enterprise;99%;21.03.2023 9:55
;notebook-makarov.etr.eastbanctech.ru;192.168.152.170;Windows 10 Enterprise;99%;20.03.2023 10:16
;notebook-rusinov.etr.eastbanctech.ru;192.168.152.25;Windows 10 Enterprise;99%;22.03.2023 9:45
;notebook-kirzienok.etr.eastbanctech.ru;192.168.154.132;Windows 10 Enterprise;99%;22.03.2023 9:34
;norboev.etr.eastbanctech.ru;192.168.152.79;Windows 10 Enterprise;99%;22.03.2023 12:23
;shedrina.etr.eastbanctech.ru;192.168.152.187;Windows 10 Enterprise;99%;22.03.2023 8:55
;marchenko.etr.eastbanctech.ru;192.168.152.184;Windows 10 Enterprise;99%;22.03.2023 10:17
;ludvina.etr.eastbanctech.ru;192.168.154.56;Windows 10 Enterprise;99%;22.03.2023 11:06
;sukhotina.etr.eastbanctech.ru;192.168.154.202;Windows 10 Enterprise;99%;22.03.2023 6:08
;notebook-mordvinova.etr.eastbanctech.ru;192.168.159.44;Windows 10 Enterprise;99%;22.03.2023 9:33
;kleymenova.etr.eastbanctech.ru;192.168.154.97;Windows 10 Enterprise;99%;22.03.2023 9:14
;lyamin.etr.eastbanctech.ru;192.168.154.201;Windows 10 Enterprise;99%;22.03.2023 5:57
;kurbatov.etr.eastbanctech.ru;192.168.152.61;Windows 10 Enterprise;99%;22.03.2023 5:46
;rybina.etr.eastbanctech.ru;192.168.152.36;Windows 10 Enterprise;99%;22.03.2023 6:06
;notebook-sitkov.etr.eastbanctech.ru;192.168.152.142;Windows 10 Enterprise;99%;22.03.2023 5:03
;trich.etr.eastbanctech.ru;192.168.154.142;Windows 10 Enterprise;99%;17.03.2023 14:16
;afanasyev.etr.eastbanctech.ru;192.168.152.110;Windows 10 Enterprise;99%;22.03.2023 11:00
;etr-dpm-01.etr.eastbanctech.ru;192.168.200.20;Windows Server 2019 Standard;99%;21.03.2023 17:40
;notebook-grukhina.etr.eastbanctech.ru;192.168.154.152;Windows 10 Enterprise;99%;20.03.2023 9:22
;armakarov.etr.eastbanctech.ru;192.168.154.41;Windows 10 Enterprise;99%;22.03.2023 8:07
;notebook-dmakarenko.etr.eastbanctech.ru;192.168.152.33;Windows 10 Enterprise;99%;21.03.2023 19:08
;notebook-kalabin.etr.eastbanctech.ru;192.168.154.27;Windows 10 Enterprise;99%;22.03.2023 12:23
;notebook-shnurko.etr.eastbanctech.ru;192.168.152.72;Windows 10 Enterprise;99%;21.03.2023 19:08
;notebook-chvorun.etr.eastbanctech.ru;192.168.154.142;Windows 10 Enterprise;99%;21.03.2023 19:03
;etr-ca-01.etr.eastbanctech.ru;192.168.150.32;Windows Server 2008 R2 Enterprise Edition;99%;21.03.2023 23:13
