"Name","StatusString","Owner","HostName","OperatingSystem","CPUCount","Memory","TotalSize","Version","VMCheckpoints"
"etr-db-02","Running","ETR\d.khromenko","etr-host-02.etr.eastbanctech.ru","Windows Server 2012 R2 Standard","8","32768","137279784960","5.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-pf-02","Running","ETR\d.khromenko","etr-host-01.etr.eastbanctech.ru","Other Linux (64 bit)","1","4096","20405288960","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-scs-db-01","Stopped","ETR\y.grishkin","dev-host-01.etr.eastbanctech.ru","Other Linux (64 bit)","4","8192","80740352000","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-scs-k8s-new-05","Stopped","ETR\y.grishkin","etr-host-14.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","12","32768","51682213888","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-lm-02","Running","ETR\a.korsun","etr-host-01.etr.eastbanctech.ru","64-bit edition of Windows Server 2012 Standard","8","16384","133617942528","5.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"te-wg-ru","Running","ETR\a.rusinov","etr-host-03.etr.eastbanctech.ru","Other Linux (64 bit)","4","4096","9198108672","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-prom-01","Running","ETR\e.paraga","etr-host-01.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","8192","53561262080","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-tfs-db-02","Running","ETR\d.khromenko","etr-host-02.etr.eastbanctech.ru","Windows Server 2019 Standard","16","32768","180090830848","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-sigma-db-05","Running","ETR\a.kubyshkin","etr-host-02.etr.eastbanctech.ru","Other Linux (64 bit)","4","8192","58963525632","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"te-db-01","Running","ETR\v.trofimovich","etr-host-07.etr.eastbanctech.ru","Windows Server 2019 Standard","8","16384","91943337984","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-vsk-03","Stopped","ETR\s.goryakin","dev-host-01.etr.eastbanctech.ru","Ubuntu Linux 16.04 (64 bit)","4","4096","37014732800","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-redmine-01","Running","ETR\a.kubyshkin","etr-host-07.etr.eastbanctech.ru","Ubuntu Linux 14.04 (64 bit)","8","8192","37213962240","5.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-lm-k8s-01","Running","ETR\a.korsun","etr-host-06.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","4096","20975714304","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-runner-10","Running","ETR\e.paraga","etr-host-03.etr.eastbanctech.ru","Other Linux (64 bit)","28","32768","868195762176","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-adfs-04","Stopped","ETR\y.bushuev","dev-host-02.etr.eastbanctech.ru","Unknown","4","1024","35706109952","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-minio-01","Running","ETR\e.paraga","etr-host-01.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","4096","44971327488","5.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-vacation-01","Stopped","ETR\v.labutin","dev-host-02.etr.eastbanctech.ru","Windows Server 2012 R2 Standard","8","8192","57617154048","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-ubuntu-chesn","Running","ETR\v.chesnokov","etr-host-14.etr.eastbanctech.ru","Ubuntu Linux 20.04 (64 bit)","8","16384","59093549056","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"te-sync-03","Running","ETR\v.shakhov","etr-host-07.etr.eastbanctech.ru","Windows Server 2019 Standard","4","4096","28357689344","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-adfs-2016","Running","ETR\d.khromenko","etr-host-01.etr.eastbanctech.ru","Windows Server 2016 Standard","8","4096","54026829824","5.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-dc-07-old","Stopped","ETR\d.khromenko","dev-host-01.etr.eastbanctech.ru","Windows Server 2016 Standard","8","4096","52416217088","5.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-adfs-02","Running","ETR\d.khromenko","etr-host-08.etr.eastbanctech.ru","Windows Server 2016 Standard","4","4096","27921481728","5.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-haproxy-hrdt-02","Running","ETR\a.tsebenko","etr-host-01.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","1","1024","6345981952","5.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-slb-03","Stopped","ETR\y.grishkin","dev-host-02.etr.eastbanctech.ru","Windows Server 2012 R2 Standard","2","1024","27753709568","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
